content,domain
"Bangladesh surpassed their first innings tally of 87 to reach three figures in the second innings before Liton Das perished as the hosts trail by 104 runs at the first drinks break of the post-lunch session after being enforced a follow-on by Pakistan on the fifth and final day of the Dhaka Test.  The Tigers are in deep water at 109 for five after 38 overs. Shakib Al Hasan, the team-highest scorer of the first innings, has joined Mushfiqur Rahim, on 31 off 97 balls, at the crease.  Liton began the post-lunch session by bringing up the fifty partnership with Mushfiqur for the fifth wicket, as he rocked on the backfoot to pull a Sajid Khan loose, short delivery past the short leg.However, the partnership could only last up to 73 runs as a similar delivery and shot ten overs later brought the downfall of Liton, on 45 off 81 deliveries. This time around, a fielder in Fawad Alam was present at square leg to a take a straightforward catch, much to the delight of Sajid, who added another victim after his eight-wicket haul in the first innings.  Earlier in the session, the wicketkeeper batter got lucky against Shaheen Afridi in the next over when an inside edge from a half-hearted defensive stroke narrowly missed the leg stump.Both Liton and Mushfiqur had played proactively on a wicket which has dried up in the sun and looked in a better shape, comparatively than yesterday, for batters. Still, Pakistan bowlers, especially Afridi, has never looked far from breaking the partnership with his movement, pace and bounce.And more promising signs popped up for the visitors as Sajid got one to bounce awkwardly high for Liton in the middle of the 30th over but Liton got lucky again as the ball landed on the vacant silly point area off his glove.However, it did not require a brilliant delivery nor did the fifth day pitch had any role with the manner Liton got out.     ",sports
"Bangladesh batters Mushfiqur Rahim and Liton Das put on some resistance following the Tigers' top-order collapse after Pakistan had put the hosts to follow-on on the final day of their second Test at the Sher-e-Bangla National Stadium in Mirpur today. Bangladesh were able to score 72 for four before umpires signaled for lunch. However, the Tigers, who are following on, still trail by 141 runs. The duo of Mushfiqur and Liton brought some stability in the middle, stitching together an unbeaten 47-run fifth-wicket stand, which is also the highest total so far by Bangladesh in this game.Mushfiqur remained unbeaten on16 off 52 deliveries while Liton, who had started very cautiously as he took 21 balls to open his account, notched up a gear after settling in. Liton pounced on the loose deliveries by Pakistan spinners Nauman Ali and Sajid Khan as the right-hander smashed a total of four boundaries during his unbeaten 46-ball 27. Earlier, Pakistan's pace duo of Shaheen Shah Afridi and Hasan Ali ran riot as they took two wickets each to put Bangladesh in a precarious situation. It was the same old struggle of Bangladesh batters against the pace and swing of the Pakistani pacers that saw the Tigers reeling at 25 for four at one stage of the game. Before that, Pakistan had bundled out Bangladesh for 87, the lowest-ever total in Tests in Mirpur, to enforce a follow-on.   ",sports
"Bangladesh's fragile top-order was once again exposed by the pace threat of Pakistan as the Tigers lost four wickets inside the first 10 overs after being put to follow-on on the final day of their second Test at the Sher-e-Bangla National Stadium in Mirpur today. After 11 overs, Bangladesh were left reeling at 27 for four with Pakistan pacers Shaheen Shah Afridi and Hasan Ali scalping two wickets each. It was the same old struggle of Bangladesh batters against the pace and swing of the Pakistan pace duo. Debutant Mahmudul Hasan Joy was the first to depart, failing to negotiate a Hasan delivery that nipped in to rattle the right-hander's stumps. Shadman Islam was soon undone by Shaheen as the left-handed batter failed to get his bat down in time and was trapped in front when the pacer had one come back inward after having swung the cherry away for the most occasions. Hasan then had Bangladesh skipper Mominul Haque suffer the same fate. But the wicket was only confirmed after a long review as it seemed Mominul's bat was very near to the ball when it hit his pad. The other wicket of Najmul Hossain Shanto was a perfectly executed plan by Pakistan. Having two gullies in place, Shaheen bowled accordingly as his back of a length delivery had squared Shanto up, forcing him to give a catch to one of the fielders at gully. Bangladesh's top-order display has remained abysmal throughout the series. The top four batters accumulated a total of 34 runs in the first innings of this Test, in which the Tigers were bundled out for 87, their lowest total in Mirpur. Also, in the first Test in Chattogram, the same four batsmen were only able to score a total of 67 runs in both the innings of a game that Bangladesh lost by eight wickets.        ",sports
"Bangladesh were put to follow-on as the hosts were bundled out for just 87 runs in the early hours of the final day of their second Test against Pakistan at the Sher-e-Bangla National Stadium in Mirpur today. Having resumed the day on 76 for seven, Bangladesh required 25 more runs to avoid follow-on. But the Tigers were only able to add 11 on the day, succumbing to their lowest-ever total in Mirpur. The previous lowest total at the venue is 110, also by Bangladesh against Sri Lanka in a Test in 2018.However, Bangladesh's 87-run total is the joint-lowest total in the country. In 2002, West Indies had bundled out Bangladesh for 87 runs at the Bangabandhu National Stadium.   Pakistan off-spinner Sajid Khan, who ran through the Tigers' batting order and scalped six wickets yesterday, gave the visitors their first breakthrough on the day when he had tailender Taijul Islam trapped in front in his very first over. With the sun out for the first time in three days, Pakistan skipper Babar Azam was able to employ pacer Shaheen Shah Afridi from one end as the pacer had started terrorising the Tigers from the word go. The left-arm quick broke through the defenses of Khaled Ahmed, who had no answer to his searing yorker in the day's third over. However, despite losing two wickets very early on the day, the urgency from the Bangladeshi batters continued. Shakib looked to score runs quickly, probably trying to get to the 101-run mark that would see them avoid follow-on. However, his efforts soon came to an end as he gifted his wicket, much like the other Bangladesh batters. He charged down to hit Sajid and only ended up giving an easy catch to the fielder at short-midwicket as Bangladesh's first-innings came to an end in just 32 overs. Sajid, who picked up two wickets today, ended with his career-best figures of eight for 42 in 15 overs that included four maidens.          ",sports
"Bangladesh team director and former national skipper Khaled Mahmud pointed at Bangladesh batters' lack of patience, which led the hosts on the verge of a defeat against Pakistan on the second Test after fourth day's play in Mirpur today.Instead of going for the cautious approach with just over a session to play, after Pakistan declared their first innings on 300 for four at the stroke of Tea, almost all Bangladesh batters were guilty of throwing away their wickets as the Tigers found themselves struggling on 76 for seven, while still needing 25 runs to avoid follow-on, at stumps. ""I have seen the game from upstairs. I don't know why that happened,"" a surprised Mahmud told the media today.  ""There was lack of patience but even though we understand Test batting, still, we were unable to do that. Why this is happening, is something to think about. There was spin in the pitch and their spinners were also bowling well but we do have the ability to play quality spinners. ""Why they couldn't do it or what was the reason to hurry, I don't know. All I Know is that we were supposed to bat the entire day as the Test will finish in the next day [tomorrow] with four or four-and-half sessions left to play. We should learn from Azhar Ali, the way he batted by taking a lot of time at the crease,"" Mahmud added. Meanwhile, the Bangladeshi pacers also came close to the forefront with the likes of Ebadot Hossain and Khaled Ahmed unable to make an impact in the Test series.Asked about when Bangladesh will get good quality fast bowlers, Mahmud replied, ""When Allah wishes, what else I could say! You may train a lot and you could be six feet tall and also have good pace but the coach can't instil everything in you. Coaches can only show you the way and it's you who will have to do it,"" he concluded.",sports
"Bangladesh batter Nazmul Hossain Shanto insisted that not every player played as aggressively as it seemed on the fourth day of their second Test against Pakistan in Mirpur today.Pakistan declared their first innings after scoring 300 for four in 98.3 overs. In reply, Bangladesh's batting collapsed, unable to tackle Pakistan's spin threat as the Tigers were left reeling at 76 for seven before stumps on day four.Bangladesh's batters threw their wickets away as they seemed to be in a rush to collect runs. However, Shanto believed that not all the batters displayed such aggression.""It's not like everyone played aggressively. Each of the batters tried to play the shots they're good at, but probably couldn't execute,"" Shanto said in the press conference after the day's play today.""Execution doesn't happen everyday, it didn't happen today but may happen in the next innings. It's not that we can't execute or have never done it before,"" he added.Even though Bangladesh need 25 runs to avoid follow-on with only three wickets left in hand, the left-handed batter believes the Tigers are still in the game.""I think tomorrow is very important. If Shakib [Al Hasan] bhai and Taijul [Islam] bhai can build a partnership and we can score some more runs then we can have a good chance.""We have the opportunity to bat again tomorrow, and we need to bat really well in order to save the match,"" Shanto said.The visitors had an easier time playing on Mirpur's wicket than the hosts. However, Shanto stated that the wicket was quite challenging to play defensively.""The wicket really wasn't that easy. It's difficult to play defensive shots and spend the entire day.""I don't think this is a wicket to score 300 runs. The spinners and pacers should've conceded fewer runs, the condition was in favour of the seamers. There's no use of thinking about these anymore, we need to ensure not to repeat the same mistakes in the next innings,"" Shanto concluded.",sports
"Woeful batting by Bangladesh on the fourth day of the rain-affected Dhaka Test has brought life back into second Test of the two-match Test series at the Sher-e-Bangla National Cricket Stadium in Mirpur.At stumps on Day 4, The hosts find themselves in a precarious yet familiar territory, on 76 for seven after 26 overs in their first innings, and are looking to first pile up a total of 101 to avoid follow-on from here with Taijul Islam set to resume fifth day's action at the crease with Shakib Al Hasan on strike, who has played a 23 off 32-ball knock so far. After Pakistan declared their first innings at 300 for four at the stroke of Tea, Bangladesh top-order had a big advantage as Babar Azam was forced to operate exclusively with spinners due to insufficient light on ground. Shaheen Afridi only got to bowl a solitary over, the first of the innings, and he looked threatening from the word go.  However, it only took Sajid Khan to topple six out of seven batters to have fallen for the hosts, with the other being the dismissal of skipper Mominul, who needlessly tried to sneak a risky single against the run of play and was run-out at the non-striker's end.And the latest to depart was Mehedy Hasan Miraz on naught, who had his off stump dislodged by the right-handed off-spinner, apparently having the game of his life.  All seven batters to have fallen for Bangladesh so far, apart from Najmul Hossain Shanto (30), went out in disappointing fashion, which were against the demand of the game scenario from Bangladesh's perspective.Both Liton Das (6) and debutant Mahmudul Hasan Joy (0) brought their demise by trying to dance down the wicket to combat Sajid, even though the debutant offered a defensive shot unlike Liton, who got caught-and-bowled trying clear mid-on area. And opener Shadman Islam (3) mistimed a forceful cut shot while veteran Mushfiqur Rahim (5) went down attempting to hoick over mid-wicket.The bulk of the bowling was done by Sajid and Nauman Ali, the duo having bowled 24 out of 26 overs for Pakistan. Nauman could have dismissed Shanto earlier on 21 had he not bowled a no-ball. At the end of the day, even skipper Babar chipped in with an over while Sajid boasted an impressive 35 for six in 12 overs. With the latest shambolic display by the Tigers, it is good news however for the Pakistan fans, also the neutrals, as the visitors now have a shot at winning the second Test, which saw only 63.2 overs played in the first three days of play and was destined for a draw, with the rain having had washed out entire third day's action.",sports
"Bangladesh cricketers are now free to start preparations in full force for the two-match Test series against New Zealand, scheduled to start from January 1, as the results of the Covid-19 tests that the Tigers underwent yesterday returned negative today. Bangladesh national team director Khaled Mahmud informed that Bangladesh will be allowed to train as a group for the first time since landing on December 10. ""We had our last Covid-19 test here yesterday and the result came in today and all of us are tested negative. Hence, we will be able to go out from here [bio-bubble] and attend training sessions from tomorrow [Tuesday],"" Mahmud told the media over a video message in the morning today. ""We have a training session at Lincoln University ground on 10:15 am where we will also avail gym facilities. ""Afterwards, we will go to the hotel and roam around freely. We can fully start preparing ourselves for the first Test,"" a relieved Mahmud added. Previously, the phase of turbulence began for the Tigers after Bangladesh's spin-bowling coach Rangana Herath tested positive for Covid-19 in Christchurch after joining the team from Sri Lanka. It then came to light that New Zealand's first case of the Omicron variant was found on the same flight from Dubai to New Zealand that some of the Bangladesh team boarded, forcing the New Zealand Health Ministry to take strict measures.In line with guidelines from the New Zealand Health Ministry, the visitors were asked to stay at the Managed Isolation Center for three further days of strict room quarantine, and thus, postponing the original schedule of moving to a team hotel to start outdoor practice from December 17.",sports
"New Zealand will tour Pakistan twice next season, including once to compensate for abandoning their tour earlier this year, the cricket boards of both countries said on Monday.New Zealand had abandoned their tour in September citing a security threat, a decision which came as a massive blow to Pakistan's hopes of staging regular international cricket and infuriated the Pakistan board (PCB).However, PCB Chairman Ramiz Raja and his New Zealand counterpart Martin Snedden met in Dubai last month to build bridges between the boards.New Zealand will tour Pakistan in December 2022-January 2023 to play two Tests and three one-day internationals before returning in April for five ODIs and a the same number of T20 Internationals.""Our respective chairmen ... had very fruitful and constructive discussions while in Dubai, further strengthening the bond between the two organisations,"" New Zealand Cricket chief executive David White said in a statement.""It's good to be going back.""The exact dates of the matches would be finalised later.""I am pleased with the outcomes of our discussions and negotiations, and thank Martin Snedden and his board for their understanding and support,"" Raja said in a statement.""This reflects the strong, cordial and historic relations the two boards have and reconfirms Pakistan's status as an important member of the cricket fraternity.""Raja had earlier alleged that Pakistan had been ""used and binned"" by the ""Western Bloc"" after England immediately followed New Zealand's lead by calling off their tour of the country.England have since assured Pakistan they will visit for a full series in 2022. ",sports
"Left-arm seamer Abu Hider bagged his third five-wicket haul in first-class cricket, helping Walton central Zone bundle out Islami Bank East Zone for 245 in their first innings on the first day of the second-round match at the Sher-e-Bangla National Stadium in Mirpur yesterday.In reply, Central Zone ended the day on four without loss with Mizanur Rahman and Mohammad Mithun set to resume the second day.A lack of patience from the East Zone batters after being asked to bat on a Mirpur sporting pitch was a defining feature of their innings. Despite getting set at the crease, a majority were guilty of throwing away their wickets. Apart from Hider, left-arm spinner Hasan Murad took three wickets and pacer Robiul Hoque scalped up two wickets for Central Zone. Pacer Robiul removed both the openers, with Mohammad Ashraful departing on a duck after he was caught at slip while going for a drive away from his body.Young Shahadat Hossain Dipu then paired with skipper Imrul Kayes and added 51 runs for the second wicket before the latter became Robiul's second victim, handing a straightforward catch to fine leg off a loose delivery.Hider then picked up his first wicket, removing Irfan Shukkur (14), before Murad took a return catch to dismiss Afif Hossain for a duck.Shahadat looked solid and reached his fifty off 99 balls with a gorgeous cover drive to Hider but he too perished as he was trapped leg before by Murad after scoring 72 off 132 balls.After that, Hider ensured his first game of the season would count as he rattled through the East Zone lower-middle order and ended with figures of five for 93. Nayeem Hasan fought a lone battle with the bat in the end for East Zone and was unbeaten on 40.At the Zahur Ahmed Chowdhury Stadium in Chattogram, veteran Naeem Islam struck his 28th first-class ton as BCB North Zone ended the first day on 246 for four against BCB South Zone.North Zone were initially in a spot of bother after being asked to bat as off-spinner Nahidul Islam removed openers Tanzid Hasan Tamim and Parvez Hossain Emon for ducks. Left-arm spinner Nasum Ahmed then trapped Junaid Siddique leg before to leave North Zone struggling on 24 for three before Naeem and skipper Marshall Ayub steadied the ship, adding ninety for the fourth wicket.However, Marshall was dismissed for 47 and Naeem then paired with Mahidul Islam Ankon and added an unbeaten 132-run stand for the fifth wicket. Naeem remained not out on 126 runs off 297 balls, smashing 14 fours and a six, while Ankon was unbeaten on 53.",sports
"The results of the Covid-19 tests that the Bangladesh cricketers underwent in New Zealand yesterday are expected to arrive today and a clean chit would enable to Tigers to get preparations underway for the two-match Test series scheduled to begin from January 1.Bangladesh will be allowed group training for the first time since landing on December 10 if they return negative tests.However, one positive case can complicate matters further and would concern both boards, especially given the tight timeframe.""We are feeling fine after our last Covid-19 test today [Sunday]. If the results come out negative, we will be allowed to practice from the day after tomorrow [Tuesday]. We all are excited about this and looking forward to it,"" left-arm seamer Shoriful Islam said yesterday.The turbulence began after Bangladesh's spin-bowling coach Rangana Herath tested positive for Covid-19 in Christchurch after joining the team from Sri Lanka. It then came to light that New Zealand's first case of the Omicron variant was found on the same flight from Dubai to New Zealand that the Bangladesh team was traveling on, forcing the New Zealand Health Ministry to take strict measures.In line with guidelines from the New Zealand Health Ministry, the visitors were asked to stay at the Managed Isolation Center for three further days of strict room quarantine despite originally being scheduled to move to a team hotel and start outdoor practice from December 17.""We all are doing well. We have been divided into two groups and were given yellow bands. We are able to see each other twice a day while maintaining social distance and it feels good to see each other and talk for a while,"" Shoriful added.",sports
